algorithm_id,metric_bin_rank,metric_value,success_rate,sample_count,metric,metric_label,algorithm_label
grid_dijkstra,1,0.0406,1.0,5298,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,2,0.0657,0.9998118178396688,5314,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,3,0.0877,1.0,5270,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,4,0.1366,0.9956505295007564,5288,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,5,0.1933,0.9737488196411709,5295,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,6,0.2948,0.9905482041587902,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,7,0.3609,0.9400756143667297,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
grid_dijkstra,8,0.4662,0.716931216931217,5292,scene_metric_obstacle_area_ratio,obstacle area ratio,Grid Dijkstra
rrt,1,0.0406,0.9990562476406191,5298,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,2,0.0657,0.9988709070380128,5314,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,3,0.0877,0.9990512333965844,5270,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,4,0.1366,0.9846822995461422,5288,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,5,0.1933,0.9512747875354107,5295,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,6,0.2948,0.8391304347826087,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,7,0.3609,0.825897920604915,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
rrt,8,0.4662,0.8155706727135299,5292,scene_metric_obstacle_area_ratio,obstacle area ratio,RRT
visibility_astar,1,0.0406,1.0,5298,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,2,0.0657,1.0,5314,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,3,0.0877,1.0,5270,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,4,0.1366,0.999054462934947,5288,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,5,0.1933,0.9888574126534466,5295,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,6,0.2948,0.9954631379962193,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
visibility_astar,7,0.3609,0.9616257088846881,5290,scene_metric_obstacle_area_ratio,obstacle area ratio,Visibility A*
