config_index,algorithm_id,median_relative_path_length,median_path_length
8,rrt,1.0876844437071846,272.1326441619243
8,visibility_astar,1.006680681916742,250.42012897279656
8,visibility_dijkstra,1.006680681916742,250.42012897279656
9,grid_astar,1.0463082573054567,239.7074791546218
9,grid_dijkstra,1.0463082573054567,239.7074791546218
9,rrt,1.0118534137497694,233.2808661347778
9,visibility_astar,1.0003192716650737,229.2534516507298
9,visibility_dijkstra,1.0003192716650737,229.2534516507298
10,grid_astar,1.046717678035831,274.77638279593236
10,grid_dijkstra,1.0467176780358307,274.7763827959323
10,rrt,1.0167696872717564,268.9504747729433
10,visibility_astar,1.0008642567768886,262.834314265858
10,visibility_dijkstra,1.0008642567768886,262.834314265858
11,grid_astar,1.0531982857225897,274.7171955635747
11,grid_dijkstra,1.0531982857225897,274.7171955635747
11,rrt,1.0317522818943368,272.6533490113885
11,visibility_astar,1.0026516357631055,261.9678218022866
11,visibility_dijkstra,1.0026516357631055,261.9678218022866
12,grid_astar,1.0789390452177807,332.03268423991705
12,grid_dijkstra,1.0789390452177803,332.0326842399169
12,rrt,1.0461613613298109,325.65482867633347
12,visibility_astar,1.0051078499773904,309.80663280077454
12,visibility_dijkstra,1.0051078499773904,309.80663280077454
13,grid_astar,1.0747344888401191,307.21811540671627
13,grid_dijkstra,1.0747344888401198,307.2181154067162
13,rrt,1.0472445921789058,303.7823685054426
13,visibility_astar,1.005994669157264,288.4601763236442
13,visibility_dijkstra,1.005994669157264,288.4601763236442
14,grid_astar,1.0721787910579632,346.49143595899966
14,grid_dijkstra,1.0721787910579637,346.49143595899983
14,rrt,1.029901403920638,338.05774770290753
14,visibility_astar,1.0021654345629714,325.17922342219947
14,visibility_dijkstra,1.0021654345629714,325.17922342219947
15,grid_astar,1.0781287815253178,366.81024225429115
15,grid_dijkstra,1.0781287815253173,366.8102422542911
15,rrt,1.0272767524659754,353.0199959608368
15,visibility_astar,1.0029298127641453,342.5801179206965
15,visibility_dijkstra,1.0029298127641453,342.5801179206965
16,grid_astar,1.0779873670454287,344.9024217899215
16,grid_dijkstra,1.077987367045429,344.9024217899216
16,rrt,1.0381366401572152,337.5595288906053
16,visibility_astar,1.0039654829627311,322.32578718414334
16,visibility_dijkstra,1.0039654829627311,322.32578718414334
17,grid_astar,1.0091046697749677,876.4381252872142
17,grid_dijkstra,1.0091046697749682,876.4381252872145
17,rrt,1.0013263989040961,871.4425598520866
17,visibility_astar,1.0000836995022646,866.8842435586041
17,visibility_dijkstra,1.0000836995022646,866.8842435586041
18,grid_astar,1.0209152630636358,723.2422149586849
18,grid_dijkstra,1.0209152630636362,723.2422149586849
18,rrt,1.0077655020326393,716.7096752813306
18,visibility_astar,1.0009149822899281,709.5571815829509
18,visibility_dijkstra,1.0009149822899281,709.5571815829509
19,grid_astar,1.019721422804503,1010.9426004876236
19,grid_dijkstra,1.0197214228045035,1010.9426004876238
19,rrt,1.0041929866049846,1002.0037163926221
19,visibility_astar,1.0009458728246594,993.744450930694
19,visibility_dijkstra,1.0009458728246594,993.744450930694
20,grid_astar,1.01920672709635,1249.975392542031
20,grid_dijkstra,1.01920672709635,1249.9753925420302
20,rrt,1.009698559498186,1241.8710071162768
20,visibility_astar,1.0009665560628584,1228.1530813905172
20,visibility_dijkstra,1.0009665560628584,1228.1530813905172
21,grid_astar,1.0229823501904498,1223.2763405997844
21,grid_dijkstra,1.0229823501904498,1223.2763405997844
21,rrt,1.0189004267424195,1223.8518999711869
21,visibility_astar,1.0014288546813943,1197.9295043587606
21,visibility_dijkstra,1.0014288546813943,1197.9295043587606
22,grid_astar,1.0201554432043312,1582.9238379880314
22,grid_dijkstra,1.0201554432043312,1582.9238379880314
22,rrt,1.010670513792161,1570.269363677451
22,visibility_astar,1.000896462793623,1551.5736108084434
22,visibility_dijkstra,1.000896462793623,1551.5736108084434
23,grid_astar,1.036661709431251,1742.6955403294965
23,grid_dijkstra,1.036661709431251,1742.6955403294965
23,rrt,1.0070938415107498,1699.8910475440807
23,visibility_astar,1.0007214756242147,1683.9200725560354
23,visibility_dijkstra,1.0007214756242147,1683.9200725560354
24,grid_astar,1.027953436758148,415.0658393149153
24,grid_dijkstra,1.027953436758148,415.06583931491525
24,rrt,1.0129192515123342,413.0694669648127
24,visibility_astar,1.001633190082806,405.2301178524076
24,visibility_dijkstra,1.001633190082806,405.2301178524076
25,grid_astar,1.0850649854666339,254.9673454536662
25,grid_dijkstra,1.0850649854666339,254.9673454536662
25,rrt,1.0739338920597135,253.77592745584857
25,visibility_astar,1.012548780022883,236.8617063787337
25,visibility_dijkstra,1.012548780022883,236.8617063787337
26,grid_astar,1.2556127580737164,136.96662986802903
26,grid_dijkstra,1.2556127580737164,136.96662986802903
26,rrt,1.2698104718687029,139.51991425127324
26,visibility_astar,1.172695010912336,128.03770365055448
26,visibility_dijkstra,1.172695010912336,128.03770365055448
27,grid_astar,1.183732763039973,319.3270218755475
27,grid_dijkstra,1.183732763039973,319.3270218755474
27,rrt,1.2314923350964264,329.93146851344204
27,visibility_astar,1.0828400267752722,292.3020946863736
27,visibility_dijkstra,1.0828400267752722,292.3020946863736
28,grid_astar,1.2913964980602128,173.58218333836902
28,grid_dijkstra,1.2913964980602128,173.58218333836902
28,rrt,1.2792652338527843,171.8384244899504
28,visibility_astar,1.2159764465111156,163.01150022498717
