config_index,config_name,algorithm_id,runs,runtime_ms_median,build_ms_median,search_ms_median,build_share_percent_median,search_share_percent_median,obstacle_count_median,nodes_median,edges_median
20,final53_huge_square_crowded_plus,visibility_dijkstra,800,130.5027,124.44,4.2958,95.24159410977734,3.380441913385263,121.0,14931.5,44783.0
21,final53_ultra_wide_open_midband,grid_astar,800,20.852449999999997,16.00515,2.42295,77.0067095890407,11.454765225180365,49.0,27725.0,215913.0
21,final53_ultra_wide_open_midband,grid_dijkstra,800,23.4285,15.99305,5.02585,68.75095371796652,21.49144164882734,49.0,27725.0,215913.0
21,final53_ultra_wide_open_midband,visibility_astar,800,13.571100000000001,13.250499999999999,0.12545,97.55293919704735,0.9506175896382927,49.0,2439.5,7339.0
21,final53_ultra_wide_open_midband,visibility_dijkstra,800,13.6489,13.1195,0.3954,96.02433666115968,2.925203655236463,49.0,2439.5,7339.0
22,final53_ultra_wide_long_route_dense,grid_astar,800,31.137900000000002,23.7057,3.71095,76.80517178255985,11.84602847295977,75.5,40735.5,317455.0
22,final53_ultra_wide_long_route_dense,grid_dijkstra,800,34.6263,23.850749999999998,7.3595500000000005,69.18747220843927,21.16733096833073,75.5,40735.5,317455.0
22,final53_ultra_wide_long_route_dense,visibility_astar,800,37.1527,36.3116,0.23504999999999998,97.88098187395951,0.6638155607202413,75.5,5216.0,15645.0
22,final53_ultra_wide_long_route_dense,visibility_dijkstra,800,37.96485,36.37125,0.9943,96.14011768069798,2.727526085515219,75.5,5216.0,15645.0
23,final53_ultra_tall_shelf_ladder,grid_astar,800,46.00155,30.21745,10.8017,65.67847841894458,23.415036913724137,64.0,53256.0,418033.0
23,final53_ultra_tall_shelf_ladder,grid_dijkstra,800,46.0697,30.07,10.840499999999999,65.64296242989786,23.494538339582594,64.0,53256.0,418033.0
23,final53_ultra_tall_shelf_ladder,visibility_astar,800,18.11065,17.6173,0.1415,97.86118997358815,0.8122559697398372,64.0,2919.0,8794.0
23,final53_ultra_tall_shelf_ladder,visibility_dijkstra,800,18.5576,17.81165,0.4813,96.38863287584638,2.6432508205554415,64.0,2919.0,8794.0
24,final53_goal_region_pressure,grid_astar,800,9.588650000000001,7.4444,0.87575,79.19653952361293,9.013104117695622,32.0,13727.0,107011.0
24,final53_goal_region_pressure,grid_dijkstra,800,11.03465,7.464,2.4116999999999997,69.81782409536294,22.441737550532565,32.0,13727.0,107011.0
24,final53_goal_region_pressure,visibility_astar,800,5.59035,5.44785,0.04995,97.76905781043622,0.910577403175892,32.0,1319.0,3984.0
24,final53_goal_region_pressure,visibility_dijkstra,800,5.79255,5.516349999999999,0.1469,96.27379381914275,2.6614704085931775,32.0,1319.0,3984.0
25,final53_compact_rectangular_pressure_plus,grid_astar,800,2.0238,1.71265,0.1997,85.39662726789862,9.677943837816954,56.0,2737.5,18827.0
25,final53_compact_rectangular_pressure_plus,grid_dijkstra,800,2.18055,1.8065,0.2573,83.97862853394784,11.563665582965628,56.0,2737.5,18827.0
25,final53_compact_rectangular_pressure_plus,visibility_astar,800,14.06995,13.7698,0.0827,98.58554383596385,0.578736870936552,56.0,2055.5,6158.0
25,final53_compact_rectangular_pressure_plus,visibility_dijkstra,800,14.2677,13.835550000000001,0.30065,97.27261757024671,2.064519535676265,56.0,2055.5,6158.0
26,final53_compact_boulder_field_heavy,grid_astar,750,0.4079,0.3654,0.029449999999999997,90.13674616111072,7.242874041586594,47.0,388.0,2264.0
26,final53_compact_boulder_field_heavy,grid_dijkstra,750,0.4109,0.3796,0.017050000000000003,93.32331760241132,4.167374128875573,47.0,388.0,2264.0
26,final53_compact_boulder_field_heavy,visibility_astar,750,4.1086,4.07835,0.01815,99.27504942072673,0.43537492819785406,47.0,261.0,703.0
26,final53_compact_boulder_field_heavy,visibility_dijkstra,750,4.11445,4.077400000000001,0.02155,99.2278344437681,0.5223916417525543,47.0,261.0,703.0
27,final53_large_boulder_field_overgrown,grid_astar,800,2.56645,2.194,0.23995,86.7455307277271,9.215247863177296,107.0,2930.5,19907.0
27,final53_large_boulder_field_overgrown,grid_dijkstra,800,2.6344,2.28285,0.25315,86.73305372419287,9.501159818592456,107.0,2930.5,19907.0
27,final53_large_boulder_field_overgrown,visibility_astar,800,35.57025,35.423249999999996,0.07105,99.5902537737643,0.20663833683770932,107.0,1331.0,3796.0
27,final53_large_boulder_field_overgrown,visibility_dijkstra,800,35.698049999999995,35.482,0.1681,99.36993176024237,0.4681255864927921,107.0,1331.0,3796.0
28,final53_compact_center_mass_extreme,grid_astar,800,0.71615,0.5983,0.0833,84.33183486787928,11.33165293854763,49.0,916.0,6560.0
28,final53_compact_center_mass_extreme,grid_dijkstra,800,0.74425,0.62875,0.0801,85.2254392368103,10.661117299574737,49.0,916.0,6560.0
28,final53_compact_center_mass_extreme,visibility_astar,800,3.3015,3.28855,0.0084,99.54964711696408,0.258833642503339,49.0,75.0,191.0
28,final53_compact_center_mass_extreme,visibility_dijkstra,800,3.2994000000000003,3.2851,0.009,99.5372688088305,0.2746463897959893,49.0,75.0,191.0
29,final53_compact_goal_basin_broader,grid_astar,788,0.6784,0.53285,0.11795,79.03982626870726,17.129665465463386,45.0,802.5,5468.0
29,final53_compact_goal_basin_broader,grid_dijkstra,788,0.66775,0.56675,0.0715,85.34265080661906,10.573554226643466,45.0,802.5,5468.0
29,final53_compact_goal_basin_broader,visibility_astar,788,3.95345,3.9144,0.026,99.05843256003521,0.667924558240812,45.0,229.0,625.0
29,final53_compact_goal_basin_broader,visibility_dijkstra,788,3.9066,3.86665,0.025,99.06487106837471,0.6523534948524057,45.0,229.0,625.0
30,final53_compact_vertical_wall_band_loose,grid_astar,800,0.6357,0.54705,0.0587,86.69039398490241,9.071695517726727,49.0,801.0,4864.0
30,final53_compact_vertical_wall_band_loose,grid_dijkstra,800,0.66195,0.56955,0.0631,86.56659299723808,9.400510387243543,49.0,801.0,4864.0
30,final53_compact_vertical_wall_band_loose,visibility_astar,800,10.2963,10.1856,0.0514,98.91961893845402,0.5114443712799885,49.0,1149.5,3448.0
30,final53_compact_vertical_wall_band_loose,visibility_dijkstra,800,10.44065,10.2208,0.15635,97.9831087854615,1.5242151759303346,49.0,1149.5,3448.0
31,final53_rectangular_boulder_field_overgrown,grid_astar,800,3.42,2.92575,0.3227,86.86424895763363,9.237968443526281,140.0,3659.5,24712.0
31,final53_rectangular_boulder_field_overgrown,grid_dijkstra,800,3.4549000000000003,3.00945,0.32345,87.20059728588456,9.14840483208637,140.0,3659.5,24712.0
31,final53_rectangular_boulder_field_overgrown,visibility_astar,800,67.2714,67.08775,0.1003,99.71788212170146,0.1507553987966299,140.0,1633.0,4644.0
31,final53_rectangular_boulder_field_overgrown,visibility_dijkstra,800,68.17314999999999,67.93285,0.20679999999999998,99.5866500030773,0.30394050239776044,140.0,1633.0,4644.0
32,final53_medium_boulder_field_heavy,grid_astar,800,1.21775,1.0482,0.1073,87.35475426434422,8.460276017298863,62.0,1383.0,8327.0
32,final53_medium_boulder_field_heavy,grid_dijkstra,800,1.2806,1.0902,0.13045,86.04305498951413,10.090823568693375,62.0,1383.0,8327.0
32,final53_medium_boulder_field_heavy,visibility_astar,800,17.39525,17.186349999999997,0.07375000000000001,98.92973728894871,0.43179711420862377,62.0,1628.0,4862.0
32,final53_medium_boulder_field_heavy,visibility_dijkstra,800,17.575650000000003,17.1861,0.2579,98.02545971105911,1.4696489617600377,62.0,1628.0,4862.0
33,final53_medium_multi_cluster_passages,grid_astar,800,1.9925,1.5901999999999998,0.25115,82.78260688944455,12.059062832720436,47.0,2506.0,18286.0
33,final53_medium_multi_cluster_passages,grid_dijkstra,800,2.1076,1.6715,0.25,83.23683347725648,11.999902639446315,47.0,2506.0,18286.0
33,final53_medium_multi_cluster_passages,visibility_astar,800,5.44505,5.3873999999999995,0.024849999999999997,99.22148066210605,0.4521222344539595,47.0,293.0,814.0
33,final53_medium_multi_cluster_passages,visibility_dijkstra,800,5.4355,5.382899999999999,0.0352,99.057459547393,0.6374250595723953,47.0,293.0,814.0
34,final53_medium_offset_mass_maze,grid_astar,800,1.3956499999999998,1.1036,0.2232,79.36056828150026,15.902996706264547,64.0,2007.0,15064.0
34,final53_medium_offset_mass_maze,grid_dijkstra,800,1.3933499999999999,1.1421,0.1805,82.25586846652602,12.97136403467493,64.0,2007.0,15064.0
34,final53_medium_offset_mass_maze,visibility_astar,800,5.30745,5.29295,0.0083,99.73176051029348,0.1552139299453791,64.0,81.0,208.0
34,final53_medium_offset_mass_maze,visibility_dijkstra,800,5.333349999999999,5.31975,0.0089,99.72256157666446,0.16774913190379154,64.0,81.0,208.0
35,final53_medium_vertical_broken_mass,grid_astar,800,1.5747499999999999,1.3326500000000001,0.14895,85.20978215977857,9.38918384706022,56.0,2343.0,17134.0
35,final53_medium_vertical_broken_mass,grid_dijkstra,800,1.6541000000000001,1.3736,0.19905,83.14522857752894,11.868997225492205,56.0,2343.0,17134.0
35,final53_medium_vertical_broken_mass,visibility_astar,800,8.9394,8.86425,0.03165,99.26401448953891,0.35345599972824965,56.0,703.0,2032.0
35,final53_medium_vertical_broken_mass,visibility_dijkstra,800,8.92465,8.7804,0.0898,98.6410872590921,1.0063082935145609,56.0,703.0,2032.0
36,final53_medium_diagonal_cluster_chain,grid_astar,800,2.40835,2.0259,0.24230000000000002,84.56038853010735,10.039288932367523,55.0,3533.0,26017.0
36,final53_medium_diagonal_cluster_chain,grid_dijkstra,800,2.5475,2.0752,0.33615,81.88349197823348,13.232711183982358,55.0,3533.0,26017.0
36,final53_medium_diagonal_cluster_chain,visibility_astar,800,11.51075,11.36985,0.06055,98.92517592744002,0.5179444532901574,55.0,1361.0,4038.0
36,final53_medium_diagonal_cluster_chain,visibility_dijkstra,800,11.64895,11.38715,0.18975,97.86982768391394,1.6288012308450746,55.0,1361.0,4038.0
37,final53_tall_corner_boulder_passable,grid_astar,800,2.36845,1.8157,0.40595000000000003,77.85537841976534,17.150863269092838,51.0,3320.0,24823.0
37,final53_tall_corner_boulder_passable,grid_dijkstra,800,2.3226,1.88305,0.32425,81.24132356997193,13.999538316586136,51.0,3320.0,24823.0
37,final53_tall_corner_boulder_passable,visibility_astar,800,6.0413,5.98235,0.0369,99.04205219375069,0.6110185184365076,51.0,449.0,1279.0
37,final53_tall_corner_boulder_passable,visibility_dijkstra,800,6.046749999999999,5.983700000000001,0.0485,98.85408815842973,0.8058192081537068,51.0,449.0,1279.0
38,final53_huge_boulder_field_overgrown_xl,grid_astar,800,11.67995,9.54635,1.3759000000000001,82.64296613362822,11.700919023980951,210.0,14031.0,101910.0
38,final53_huge_boulder_field_overgrown_xl,grid_dijkstra,800,12.24195,9.7346,1.92205,80.13855411714528,15.518172707439643,210.0,14031.0,101910.0
