metric_quantile_rank,metric_value,median_relative_path_length,q25_relative_path_length,q75_relative_path_length,sample_count,algorithm_id,algorithm_label,metric,metric_label,quantile_count
1,0.008842659159411853,1.0009109763229629,1.0002892182509284,1.0019784953604975,6870,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
2,0.02165288360380705,1.0026769484352633,1.0007324191509006,1.0060573313532815,6869,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
3,0.03252609302546088,1.0086264102962756,1.0027969234961,1.0203338985645298,6869,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
4,0.04320771665428105,1.0102297924606594,1.0038634824278132,1.0259469792669094,6869,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
5,0.06295773852529336,1.0241678963992538,1.0108428241300373,1.0640690878420422,6869,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
6,0.11512519863931833,1.0877927155883804,1.0259620054922385,1.1949214193574151,6870,visibility_astar,Visibility A*,scene_metric_boundary_density,boundary density,6
1,0.0462,1.000640567476995,1.0001118597198566,1.0016347730505317,6882,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
2,0.074,1.0014523044894927,1.000519108620951,1.0030841122646186,6865,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
3,0.1229,1.0053225918410063,1.00236569713896,1.010174681720515,6871,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
4,0.196,1.0160172455993843,1.0070510390387601,1.0509946425232277,6859,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
5,0.3186,1.033828800087156,1.016105955512759,1.1330352614490793,6872,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
6,0.4268,1.0375955100927448,1.020547023037678,1.1241284387323733,6867,visibility_dijkstra,Visibility Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
1,0.987585025269119,1.0623719427092406,1.0254132399836386,1.1587380721431988,6870,visibility_dijkstra,Visibility Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
2,0.9982823077700314,1.0216600701928644,1.0106226672525653,1.0430120235846594,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
3,0.9995436707127864,1.0137532545406311,1.0063057481280322,1.0297810398221408,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
4,0.9998909457727044,1.0042622585507082,1.0014627065947277,1.0108901808597923,6870,visibility_dijkstra,Visibility Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
5,1.0,1.0011571313188008,1.0002984176156002,1.0031983498104136,13738,visibility_dijkstra,Visibility Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
1,0.008842659159411853,1.0009109763229629,1.0002892182509284,1.0019784953604975,6870,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
2,0.02165288360380705,1.0026769484352633,1.0007324191509006,1.0060573313532815,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
3,0.03252609302546088,1.0086264102962756,1.0027969234961,1.0203338985645298,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
4,0.04320771665428105,1.0102297924606594,1.0038634824278132,1.0259469792669094,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
5,0.06295773852529336,1.0241678963992538,1.0108428241300373,1.0640690878420422,6869,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
6,0.11512519863931833,1.0877927155883804,1.0259620054922385,1.1949214193574151,6870,visibility_dijkstra,Visibility Dijkstra,scene_metric_boundary_density,boundary density,6
